Year,Value
1899,6.10
1900,7.07
1901,8.12
1902,8.46
1903,6.68
1904,8.43
1905,9.87
1906,9.56
1907,6.85
1908,9.06
1909,10.08
1910,9.27
1911,9.12
1912,9.30
1913,8.37
1914,7.48
1915,9.33
1916,9.57
1917,7.21
1918,7.85
1919,8.83
1920,7.11
1921,7.30
1922,8.90
1923,8.83
1924,10.58
1925,12.65
1926,13.40
1927,17.53
1928,24.86
1929,21.71
1930,15.98
1931,8.30
1932,7.09
1933,10.54
1934,9.26
1935,13.76
1936,17.59
1937,11.31
1938,12.50
1939,12.30
1940,10.55
1941,8.93
1942,10.09
1943,11.85
1944,13.49
1945,18.02
1946,15.21
1947,14.83
1948,15.36
1949,16.88
1950,21.21
1951,24.19
1952,26.18
1953,25.46
1954,35.60
1955,44.15
1956,45.43
1957,41.12
1958,55.62
1959,58.03
1960,59.72
1961,69.07
1962,65.06
1963,76.45
1964,86.12
1965,93.32
1966,84.45
1967,95.04
1968,102.00
1969,90.31
1970,93.49
1971,103.30
1972,118.40
1973,96.11
1974,72.56
1975,96.86
1976,103.80
1977,90.25
1978,99.71
1979,110.90
1980,133.00
1981,117.30
1982,144.30
1983,166.40
1984,171.60
1985,208.20
1986,264.50
1987,250.50
1988,285.40
1989,339.97
1990,325.49
1991,416.08
1992,435.23
1993,472.99
1994,465.25
1995,614.42
1996,766.22
1997,963.36
1998,1248.77
1999,1425.59
2000,1335.63
2001,1140.21
2002,895.84
2003,1132.52
2004,1181.41
2005,1278.73
2006,1424.16
2007,1378.76
2008,865.58
2009,1123.58
2010,1282.62
2011,1300.58
2012,1480.40
2013,1822.36
2014,2028.18
2015,1918.60
2016,2275.12
2017,2789.80
2018,2607.39
2019,3278.20
2020,3793.75
2021,4573.82
2022,3810.94